id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type,company
9474864,North Carolina,NC,37,Caldwell County,27,Google,,Google Data Center,3407194.0,-81.54651452543965,35.89473769568106,campus,google
13924557,Iowa,IA,19,Polk County,153,Microsoft,,Project Alluvion,11169421.0,-93.71182964871085,41.51596683171199,campus,microsoft
14997588,Virginia,VA,51,Henrico County,87,Meta,,Meta Henrico Data Center,4671056.0,-77.23645509442149,37.482763284885785,campus,meta
18518989,Alabama,AL,1,Madison County,89,Meta,,Meta Huntsville Data Center,14435561.0,-86.62831680386925,34.84424467802452,campus,meta
19787207,Virginia,VA,51,Prince William County,153,Microsoft,1,Microsoft Data Center 1,248706.0,-77.58237918867958,38.8024111256264,building,microsoft
19988712,Oregon,OR,41,Crook County,13,Meta,,Meta Prineville Datacenter,17379079.0,-120.88638228128598,44.29844323079028,campus,meta
45776978,Virginia,VA,51,Prince William County,153,Amazon Web Services,Amazon IAD11,Amazon IAD11,122474.0,-77.54111111954948,38.790500006452135,building,amazon
45776979,Virginia,VA,51,Prince William County,153,Amazon Web Services,IAD24,Amazon IAD24,31388.0,-77.54000633908686,38.79035015175034,building,amazon
45776988,Virginia,VA,51,Prince William County,153,Amazon Web Services,Amazon IAD-7,Amazon IAD7,109423.0,-77.53827709301147,38.79120375196744,building,amazon
48242814,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD10,Amazon IAD10,112726.0,-77.43287558139869,39.0216455535984,building,amazon
48242816,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD32,Amazon IAD32,35700.0,-77.43479445422666,39.02156932429181,building,amazon
222672860,Virginia,VA,51,Prince William County,153,Amazon Web Services,IAD55,Amazon IAD-55,228140.0,-77.64876376105127,38.81506150876172,building,amazon
224998784,California,CA,6,Santa Clara County,85,Microsoft,,Microsoft,166655.0,-121.94643635591544,37.3620662092011,building,microsoft
231769626,Oregon,OR,41,Wasco County,65,Google,,Google Data Center The Dalles Oregon,1487396.0,-121.2013022306046,45.63204799165709,campus,google
258343744,Virginia,VA,51,Fairfax County,59,Amazon Web Services,IAD-9,Amazon IAD-9,85855.0,-77.453440411722,38.89965169321406,building,amazon
258343749,Virginia,VA,51,Fairfax County,59,Amazon Web Services,IAD-1,Amazon IAD-1,93882.0,-77.45407518694847,38.89785914212506,building,amazon
